epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,514.847,0.95184,1.1942,0.91612,1.05461,0,0.5565,0.3861,0.40675,0.24321,0.46464,0.30955,0.26177,0.07951,1.47086,1.19164,1.71347,1.36719,0,0.001208,0.001208,0.001208
62,521.353,1.00629,1.10813,0.93036,1.07847,0,0.64463,0.36364,0.39988,0.25306,0.60723,0.3007,0.29476,0.0961,1.40358,1.15961,1.78231,1.32687,0,0.0011948,0.0011948,0.0011948
63,530.66,0.92258,1.11936,0.8293,1.03809,0,0.56611,0.36364,0.4087,0.25381,0.54782,0.3007,0.29061,0.09014,1.53384,1.16151,1.77567,1.43617,0,0.0011816,0.0011816,0.0011816
64,537.324,0.92717,1.14808,0.863,1.03603,0,0.57195,0.35664,0.40745,0.25383,0.46958,0.29371,0.25712,0.0777,1.56764,1.11145,1.81589,1.42555,0,0.0011684,0.0011684,0.0011684
65,545.861,0.93368,1.17423,0.83374,1.03876,0,0.5443,0.35919,0.3996,0.25071,0.53902,0.26573,0.27103,0.07869,1.55035,1.08445,1.84515,1.41884,0,0.0011552,0.0011552,0.0011552
66,552.687,0.99326,1.19429,0.89904,1.0713,0,0.57814,0.33566,0.38881,0.22188,0.50661,0.28671,0.26243,0.07949,1.61558,1.1059,1.89918,1.51465,0,0.001142,0.001142,0.001142
67,563.167,0.90203,1.07661,0.82522,1.03906,0,0.53084,0.39161,0.38741,0.22425,0.41122,0.34266,0.27305,0.08458,1.45568,1.15854,1.72321,1.39261,0,0.0011288,0.0011288,0.0011288
68,570.042,0.99292,1.0918,0.8779,1.08451,0,0.49457,0.3832,0.3603,0.20843,0.41422,0.32867,0.24358,0.07014,1.509,1.158,1.87203,1.35451,0,0.0011156,0.0011156,0.0011156
69,579.044,0.95178,1.15693,0.86513,1.05435,0,0.57304,0.41958,0.40215,0.23674,0.60319,0.33566,0.29739,0.08623,1.52543,1.19244,1.8198,1.35943,0,0.0011024,0.0011024,0.0011024
70,587.358,0.90347,1.05395,0.83619,1.04481,0,0.45758,0.45455,0.41621,0.24524,0.38718,0.38462,0.26415,0.07072,1.51313,1.10386,1.8065,1.36858,0,0.0010892,0.0010892,0.0010892
71,595.983,0.96237,1.15758,0.89746,1.04636,0,0.5518,0.43049,0.4199,0.23548,0.57524,0.31469,0.28361,0.07833,1.45494,1.13493,1.84187,1.30995,0,0.001076,0.001076,0.001076
